Country Code,Date,City,Latitude,Longitude,Max Temp,Humidity,Cloud Cover,Wind Speed
US,1554335760,Bethel,60.79,-161.76,279.15,1,1,10.3
EC,1554337911,San Cristobal,-0.39,-78.55,287.15,75,75,1.5
PT,1554338484,Vila Franca do Campo,37.72,-25.43,286.15,40,40,4.1
GL,1554335400,Tasiilaq,65.61,-37.64,273.15,44,44,2.1
RU,1554338489,Ust-Tsilma,65.44,52.15,271.35,48,48,2.36
RU,1554338490,Tommot,58.97,126.27,269.5,64,64,1.36
PY,1554338490,San Patricio,-26.98,-56.83,296.95,56,56,1.31
AU,1554338459,Port Lincoln,-34.72,135.86,294.65,0,0,4.26
RU,1554338491,Poltavka,54.36,71.76,274.25,92,92,5.16
CA,1554336000,Merritt,50.11,-120.79,288.15,40,40,6.2
US,1554338422,Beaver Falls,44.58,-95.05,280.37,1,1,2.1
CA,1554338427,Gimli,50.63,-96.99,273.71,8,8,2.16
US,1554338140,Saint Anthony,43.97,-111.68,284.15,90,90,5.7
SA,1554336000,Najran,17.54,44.22,296.15,5,5,1.66
CL,1554336000,Coihaique,-45.58,-72.07,285.15,75,75,3.1
IR,1554336000,Shiraz,29.61,52.54,287.15,40,40,2.1
BR,1554338410,Guiratinga,-16.35,-53.76,295.5,64,64,1.81
PF,1554338361,Faanui,-16.48,-151.75,302.35,0,0,3.06
NZ,1554338373,Dunedin,-45.87,170.5,291.48,36,36,2.24
AU,1554336000,Alice Springs,-23.7,133.88,297.15,0,0,3.6
CM,1554338498,Sangmelima,2.93,11.98,294.55,12,12,1.96
US,1554338405,Natchez,31.56,-91.4,294.15,75,75,3.1
BD,1554338499,Boda,26.2,88.56,291.75,44,44,2.51
RU,1554338500,Belaya Gora,68.54,146.19,265.3,48,48,1.86
RU,1554338371,Yar-Sale,66.83,70.83,261.0,32,32,1.86
AU,1554338424,Mandurah,-32.55,115.7,294.82,75,75,6.2
GD,1554336000,Gouyave,12.16,-61.73,299.15,40,40,4.6
EE,1554338501,Vao,59.1,26.19,273.7,0,0,3.81
LK,1554336600,Hambantota,6.12,81.12,296.15,20,20,1.0
RU,1554338503,Cherskiy,68.75,161.3,272.0,0,0,1.01
RU,1554338504,Leningradskiy,69.38,178.42,260.2,8,8,7.91
JP,1554336000,Muroto,33.37,134.14,285.15,20,20,1.5
BR,1554338505,Itarema,-2.92,-39.92,297.05,92,92,1.01
GB,1554337200,Brae,60.4,-1.35,280.15,0,0,6.7
US,1554338462,Inglewood,33.96,-118.36,292.15,1,1,5.1
PG,1554338423,Kavieng,-2.57,150.8,298.8,100,100,2.56
SA,1554338507,Umm Lajj,25.02,37.27,289.55,0,0,4.06
GL,1554338341,Upernavik,72.79,-56.15,265.25,88,88,25.01
NO,1554338396,Sistranda,63.73,8.83,276.15,75,75,1.0
US,1554338347,Price,39.6,-110.81,287.15,20,20,4.6
ID,1554338510,Labuhan,-2.54,115.51,298.5,8,8,0.91
MY,1554336000,Tambun,4.62,101.14,299.15,75,75,1.5
RU,1554338264,Srednekolymsk,67.46,153.71,271.95,0,0,1.06
SA,1554336000,Abha,18.22,42.5,288.15,0,0,4.6
SN,1554336000,Gat,14.69,-16.54,295.15,48,48,4.1
FI,1554338475,Nokia,61.48,23.51,277.59,0,0,3.1
PK,1554338513,Muzaffarabad,34.37,73.47,283.75,20,20,1.21
NO,1554335400,Longyearbyen,78.22,15.63,260.15,40,40,2.6
JP,1554338051,Katsuura,33.93,134.5,285.15,20,20,4.1
PT,1554338299,Areosa,41.72,-8.86,280.93,0,0,3.1
PH,1554337941,San Juan,14.6,121.03,303.15,20,20,2.1
PT,1554338356,Lagoa,37.14,-8.45,284.15,0,0,5.7
IN,1554338517,Latehar,23.74,84.5,290.45,0,0,1.21
BN,1554336000,Victoria,5.28,115.24,301.15,75,75,1.16
IT,1554338481,Lerici,44.07,9.91,287.59,40,40,4.6
BR,1554338519,Cidreira,-30.17,-50.22,295.5,8,8,1.06
IR,1554338520,Mitu,36.2,46.09,271.55,68,68,1.11
CL,1554336000,Rengo,-34.41,-70.86,289.15,12,12,2.1
GL,1554338520,Qaanaaq,77.48,-69.36,261.05,88,88,2.96
PE,1554336000,Pisco,-13.71,-76.2,295.15,40,40,7.2
MX,1554335100,Puerto Escondido,15.86,-97.07,303.15,5,5,3.1
SO,1554338445,Hobyo,5.35,48.53,299.1,8,8,3.16
RU,1554338523,Kuzhenkino,57.76,33.95,268.05,8,8,1.31
TM,1554336000,Annau,37.89,58.52,286.15,75,75,6.2
PT,1554338484,Rabo de Peixe,37.8,-25.58,286.15,40,40,4.1
KI,1554338525,Butaritari,3.07,172.79,298.85,88,88,1.11
RU,1554338525,Grivenskaya,45.65,38.16,271.8,0,0,1.71
FR,1554338525,Saint-Denis,48.94,2.36,278.15,0,0,1.0
DZ,1554338490,Tigzirt,36.57,4.2,288.15,0,0,1.34
IR,1554338527,Abdanan,32.99,47.42,281.2,92,92,0.31
AU,1554338523,Howard Springs,-12.5,131.05,302.59,75,75,6.2
ES,1554338514,Muros,42.77,-9.06,280.93,40,40,0.5
PG,1554338529,Kandrian,-6.21,149.55,297.85,100,100,1.21
ZA,1554338530,Piet Retief,-27.01,30.81,285.0,12,12,1.76
MU,1554338343,Bambous Virieux,-20.34,57.76,298.15,40,40,3.76
RU,1554338355,Esso,55.93,158.7,270.25,80,80,3.76
RU,1554338380,Chokurdakh,70.62,147.9,262.5,0,0,1.86
BR,1554338431,Conde,-11.81,-37.61,299.05,56,56,2.41
UA,1554338533,Arbuzynka,47.91,31.32,269.3,0,0,1.26
CV,1554338333,Sao Filipe,14.9,-24.5,294.2,56,56,7.31
BR,1554338533,Rondonopolis,-16.46,-54.64,298.95,48,48,0.96
MM,1554338534,Shwebo,22.57,95.7,293.5,0,0,3.76
FR,1554338525,Firminy,45.39,4.29,278.15,75,75,1.5
LR,1554338535,Robertsport,6.75,-11.37,299.8,68,68,2.71
MV,1554338383,Hithadhoo,-0.6,73.08,300.3,36,36,1.71
US,1554338452,College,64.86,-147.8,273.71,1,1,8.7
BR,1554338536,Ponta do Sol,-20.63,-46.0,292.95,68,68,2.16
GR,1554335400,Saint George,39.45,22.34,280.15,75,75,0.91
US,1554338318,Port Elizabeth,39.31,-74.98,290.15,1,1,5.1
NZ,1554338411,Kaitangata,-46.28,169.85,285.93,76,76,0.45
BR,1554338539,Pimentel,-3.7,-45.5,298.5,88,88,1.86
SA,1554336000,Riyadh,24.63,46.72,293.15,0,0,2.6
MG,1554338539,Ambilobe,-13.19,49.05,294.6,32,32,1.21
RU,1554338540,Sindor,62.87,51.9,269.45,0,0,2.86
IN,1554338428,Lata,30.78,78.62,282.1,12,12,1.11
RU,1554338319,Komsomolskiy,67.55,63.78,268.75,88,88,1.51
IR,1554336000,Khorramshahr,30.43,48.18,292.15,0,0,1.0
US,1554338453,Lompoc,34.64,-120.46,291.48,90,90,3.6
GL,1554338543,Narsaq,60.91,-46.05,262.5,0,0,2.86
FR,1554338525,Veraval,49.65,0.71,274.82,0,0,2.6
BR,1554338545,Piacabucu,-10.41,-36.43,298.5,8,8,2.36
RU,1554338546,Imeni Poliny Osipenko,52.42,136.49,271.4,0,0,2.01
US,1554338428,North Bend,43.41,-124.22,285.93,90,90,2.6
US,1554338479,Harlingen,26.19,-97.7,300.15,40,40,4.6
RU,1554338548,Aykhal,65.95,111.51,266.15,8,8,1.86
VE,1554338549,Carupano,10.67,-63.26,297.95,88,88,5.61
AR,1554338290,Necochea,-38.55,-58.74,287.04,0,0,1.34
AU,1554336000,Kununurra,-15.77,128.74,305.15,12,12,5.1
MR,1554338550,Atar,20.52,-13.05,289.2,20,20,0.71
RU,1554338436,Nikolskoye,59.7,30.79,275.15,0,0,3.0
UA,1554338551,Male,50.74,33.7,270.9,8,8,1.31
RU,1554338552,Bilibino,68.06,166.44,270.8,8,8,1.41
PT,1554338282,Saldanha,41.42,-6.55,274.75,0,0,2.41
RU,1554336000,Provideniya,64.42,-173.23,270.15,40,40,9.0
MV,1554338553,Dhidhdhoo,6.88,73.1,299.95,20,20,1.06
BA,1554338412,Stijena,44.94,16.02,281.48,0,0,2.11
GA,1554338554,Mayumba,-3.44,10.65,299.85,92,92,2.21
IN,1554338481,Kavaratti,10.57,72.64,301.75,36,36,0.51
US,1554338255,Plainview,34.18,-101.71,299.15,40,40,10.8
ID,1554338555,Biak,-0.91,122.88,299.4,36,36,0.76
CO,1554338129,Santa Marta,11.24,-74.21,303.15,40,40,9.3
IR,1554336000,Mehran,33.12,46.17,282.15,75,75,2.1
TM,1554338558,Gumdag,39.2,54.59,283.65,36,36,5.71
ZM,1554338558,Mumbwa,-14.99,27.06,291.45,0,0,4.46
US,1554338238,Front Royal,38.92,-78.19,289.15,1,1,4.1
MX,1554335580,San Blas,21.54,-105.29,299.15,5,5,4.1
TC,1554338561,Cockburn Town,21.46,-71.14,299.3,0,0,5.96
AU,1554336000,Yulara,-25.24,130.99,298.15,0,0,8.2
CA,1554336000,Sioux Lookout,50.1,-91.92,269.15,40,40,5.7
CA,1554336000,Hay River,60.82,-115.79,261.15,75,75,2.6
AU,1554338231,Gladstone,-23.84,151.26,300.37,40,40,6.2
LY,1554338563,Jalu,29.03,21.55,287.15,0,0,2.76
GY,1554336000,Georgetown,6.8,-58.16,301.15,40,40,5.1
US,1554338432,Kahului,20.89,-156.47,302.15,40,40,10.8
BR,1554338566,Pontes e Lacerda,-15.23,-59.33,297.35,12,12,1.06
NU,1554336000,Alofi,-19.06,-169.92,301.15,75,75,5.7
PF,1554338544,Tautira,-17.73,-149.15,304.15,75,75,5.7
NZ,1554337809,Tuatapere,-46.13,167.69,284.82,92,92,0.89
US,1554338546,Wasilla,61.58,-149.44,282.59,20,20,9.3
AU,1554338284,Karratha,-20.74,116.85,299.5,0,0,5.66
NG,1554338569,Auki,12.18,6.51,295.45,0,0,1.91
NZ,1554338569,Hanmer Springs,-42.52,172.83,287.7,20,20,1.16
US,1554338299,Mandan,46.83,-100.89,279.15,1,1,8.7
TR,1554338570,Kumluca,36.37,30.29,277.0,80,80,0.26
BR,1554336000,Praia,-20.25,-43.81,294.15,0,0,1.5
US,1554338567,Ontario,34.07,-117.65,294.15,90,90,3.6
US,1554338472,Harper,30.3,-99.24,291.48,90,90,4.1
CA,1554336000,Havre-Saint-Pierre,50.23,-63.6,271.15,90,90,11.8
CA,1554338403,Shediac,46.22,-64.55,273.71,90,90,11.3
YE,1554338573,Marzuq,14.4,46.47,284.85,0,0,1.16
FR,1554338482,Saint-Joseph,43.56,6.97,284.26,92,92,0.5
BR,1554336000,Maceio,-9.67,-35.74,297.15,0,0,1.0
US,1554338541,Hermiston,45.84,-119.29,292.15,1,1,8.7
MX,1554337921,Cabo San Lucas,22.89,-109.91,302.59,5,5,3.6
ES,1554336000,Teguise,29.06,-13.56,290.15,20,20,4.91
CL,1554336000,Valdivia,-39.81,-73.25,285.15,90,90,4.1
AR,1554336000,Rio Gallegos,-51.62,-69.22,279.15,75,75,11.3
PW,1554335400,Kloulklubed,7.04,134.26,298.15,90,90,3.6
KE,1554338578,Wajir,1.75,40.07,299.85,12,12,5.46
AU,1554338406,Bowen,-20.01,148.25,300.93,75,75,8.2
CA,1554336000,Clyde River,70.47,-68.59,260.15,75,75,7.7
CA,1554336000,Aklavik,68.22,-135.01,261.15,75,75,5.1
UA,1554338580,Stara Vyzhivka,51.44,24.44,275.6,0,0,6.46
GA,1554338580,Omboue,-1.57,9.26,302.0,92,92,3.11
NG,1554338581,Potiskum,11.71,11.08,296.6,0,0,3.21
RU,1554338370,Severo-Kurilsk,50.68,156.12,274.85,92,92,2.51
RU,1554338583,Vanavara,60.35,102.28,270.2,80,80,4.01
BR,1554338583,Santa Maria da Boa Vista,-8.8,-39.83,296.0,76,76,4.01
US,1554338494,Pacific Grove,36.62,-121.92,290.37,90,90,2.6
RU,1554338584,Saskylakh,71.97,114.09,266.85,48,48,2.06
US,1554338396,Abilene,32.45,-99.73,296.15,1,1,8.2
IE,1554338290,Westport,53.8,-9.52,279.26,32,32,6.81
CN,1554338585,Yumen,40.29,97.04,275.3,0,0,2.66
TD,1554338586,Bol,13.47,14.72,298.1,0,0,4.56
RU,1554338586,Kargopol,61.51,38.95,266.1,0,0,4.16
PH,1554338586,Kinablangan,7.69,126.55,299.35,8,8,4.31
PR,1554338457,Maunabo,18.01,-65.9,300.15,40,40,3.6
LR,1554334200,Buchanan,5.88,-10.05,298.15,75,75,2.86
NG,1554338588,Minna,9.62,6.55,298.55,12,12,1.41
ES,1554338554,Gijon,43.54,-5.66,278.15,88,88,4.6
GY,1554338589,Bonfim,3.36,-59.84,306.8,100,100,4.01
JP,1554338493,Yashiro,34.92,134.97,285.37,20,20,0.5
RU,1554338590,Khilok,51.36,110.46,268.8,0,0,4.81
ET,1554338590,Ginir,7.14,40.71,290.7,64,64,1.61
US,1554338571,Nome,30.04,-94.42,292.15,90,90,4.1
US,1554338336,Bay City,43.59,-83.89,281.48,1,1,2.1
GL,1554338314,Nanortalik,60.14,-45.24,273.1,48,48,9.26
CA,1554338400,Wiarton,44.74,-81.13,273.15,20,20,4.1
CL,1554336000,Ancud,-41.87,-73.83,283.15,75,75,3.1
AO,1554338593,Soyo,-6.13,12.37,300.5,76,76,1.76
MN,1554337800,Ulaanbaatar,47.92,106.92,271.15,75,75,5.0
GL,1554335400,Qasigiannguit,68.82,-51.19,265.15,68,68,6.7
ZA,1554338594,Oranjemund,-28.55,16.43,287.9,80,80,2.81
IN,1554338596,Amarwara,22.3,79.17,292.35,0,0,1.96
VU,1554336000,Isangel,-19.55,169.27,303.15,75,75,2.6
KY,1554337804,Bodden Town,19.28,-81.25,300.15,20,20,7.2
RU,1554338597,Ossora,59.24,163.07,273.45,92,92,9.01
MZ,1554338597,Mocuba,-16.84,36.99,293.8,88,88,2.01
MU,1554338343,Mahebourg,-20.41,57.7,298.15,40,40,3.76
DE,1554338411,Ludwigshafen,47.82,9.06,279.82,88,88,1.0
ID,1554338600,Sorong,-0.86,131.25,298.85,80,80,1.71
FR,1554338362,Souillac,45.6,-0.6,277.59,24,24,1.0
ML,1554338339,Taoudenni,22.68,-3.98,295.6,76,76,2.11
ZA,1554338380,Aliwal North,-30.69,26.71,287.0,0,0,5.56
RU,1554338373,Muravlenko,63.79,74.5,269.4,64,64,5.26
RU,1554338603,Parabel,58.71,81.5,265.75,36,36,1.01
RU,1554338604,Klimovo,52.38,32.2,273.0,24,24,1.31
SB,1554338605,Buala,-8.15,159.59,301.8,44,44,2.31
ES,1554338601,Verin,41.94,-7.44,275.93,56,56,0.45
EG,1554338606,Marsa Matruh,31.35,27.25,281.55,24,24,2.06
BJ,1554338606,Kandi,11.13,2.93,298.85,0,0,1.16
AR,1554338607,General Roca,-39.03,-67.58,299.05,92,92,12.01
US,1554338100,Grand Forks,47.91,-97.06,276.15,1,1,1.51
ZA,1554338448,Richards Bay,-28.77,32.06,294.1,12,12,5.61
CA,1554336000,Port Hardy,50.7,-127.42,284.15,90,90,2.1
RU,1554338610,Mezen,65.85,44.24,271.1,0,0,2.86
IS,1554338409,Vestmannaeyjar,63.44,-20.27,278.0,88,88,10.86
ID,1554338610,Atambua,-9.11,124.89,299.7,36,36,1.21
RU,1554338349,Okhotsk,59.36,143.24,275.1,12,12,1.96
RU,1554338401,Pevek,69.7,170.27,269.65,0,0,1.16
RS,1554337800,Mana,43.52,20.24,283.15,40,40,1.5
RU,1554338613,Kolpashevo,58.31,82.9,267.3,64,64,1.16
AR,1554338614,San Luis,-33.3,-66.34,301.25,0,0,4.46
CA,1554336000,Quesnel,52.98,-122.49,285.15,75,75,5.1
CA,1554338329,Marathon,48.72,-86.38,270.5,20,20,6.36
BO,1554338616,Charagua,-19.79,-63.2,294.85,0,0,1.56
MX,1554338616,General Teran,25.27,-99.68,297.85,8,8,2.41
ER,1554338617,Barentu,15.11,37.59,287.0,0,0,0.31
AR,1554338618,Viedma,-40.81,-62.99,297.85,100,100,7.21
GF,1554338619,Iracoubo,5.48,-53.21,299.25,92,92,2.96
PH,1554338620,Pandan,11.72,122.09,300.0,0,0,7.91
US,1554338374,Santa Cruz,36.97,-122.03,290.93,90,90,2.6
FR,1554338283,Ambon,47.55,-2.56,276.15,0,0,2.1
VU,1554338622,Luganville,-15.51,167.18,300.6,88,88,3.26
CA,1554338623,Haines Junction,60.75,-137.51,269.3,88,88,1.51
NO,1554338623,Kjollefjord,70.95,27.35,270.2,76,76,2.31
DZ,1554338490,Tazmalt,36.39,4.4,290.15,20,20,4.1
CN,1554338625,Huaiyuan,32.97,117.2,284.65,64,64,2.06
CN,1554338625,Dandong,40.12,124.37,281.0,0,0,2.11
CN,1554338626,Guozhen,29.3,113.14,284.85,92,92,1.66
NZ,1554338420,Murupara,-38.46,176.71,292.59,32,32,1.16
US,1554338524,Portland,45.52,-122.67,289.26,90,90,2.6
IN,1554338628,Itanagar,27.1,93.63,287.15,36,36,1.61
GB,1554338627,Formby,53.55,-3.07,277.59,0,0,5.7
CA,1554338487,Saint-Michel-des-Saints,46.68,-73.92,275.37,76,76,2.68
RU,1554338630,Seryshevo,51.09,128.38,274.55,80,80,2.31
US,1554338619,Greenfield,42.59,-72.6,282.15,1,1,6.7
MX,1554338420,Ixtapa,20.71,-105.21,299.15,5,5,4.6
CD,1554338632,Kasongo-Lunda,-6.48,16.82,294.5,56,56,1.16
ZA,1554338633,Kruisfontein,-34.0,24.73,288.75,48,48,3.11
TH,1554337817,Lampang,18.29,99.49,298.71,36,36,1.06
SY,1554336000,Jablah,35.36,35.93,283.15,0,0,2.1
CD,1554338634,Demba,-5.47,22.27,296.0,32,32,0.96
BR,1554338635,Carangola,-20.73,-42.03,292.85,64,64,1.21
CA,1554336000,Nipawin,53.36,-104.02,271.15,90,90,4.6
NG,1554338636,Naze,5.43,7.07,299.75,0,0,4.86
GY,1554338636,Lethem,3.38,-59.8,306.8,100,100,4.01
BR,1554338637,Alta Floresta,-9.87,-56.08,298.2,24,24,0.96
RU,1554338637,Egvekinot,66.32,-179.17,267.05,0,0,1.31
IN,1554338638,Leh,34.16,77.58,255.95,64,64,0.41
CL,1554336000,Mundo Nuevo,-32.72,-71.41,289.15,90,90,2.1
RU,1554338364,Iskateley,67.68,53.15,268.8,76,76,5.56
LA,1554338640,Xam Nua,20.42,104.04,289.25,92,92,0.71
UA,1554336000,Kosmach,48.75,24.38,276.15,0,0,3.0
RU,1554338641,Vuktyl,63.86,57.31,273.8,88,88,2.41
TT,1554338107,Esperance,10.24,-61.45,298.15,20,20,4.1
BR,1554336000,Porto Novo,-23.68,-45.44,294.15,0,0,1.26
ES,1554338529,Aguimes,27.91,-15.45,289.82,20,20,2.6
RU,1554338643,Nerchinskiy Zavod,51.31,119.61,272.15,80,80,2.06
HT,1554338644,Les Cayes,18.19,-73.75,300.25,20,20,3.61
CA,1554338427,Husavik,50.56,-96.99,273.71,8,8,2.16
RU,1554338645,Beringovskiy,63.05,179.32,271.75,92,92,9.16
RU,1554338645,Baykit,61.68,96.39,266.5,48,48,4.76
NE,1554338478,Arlit,18.74,7.39,296.55,0,0,1.41
AR,1554338413,Santa Fe,-31.62,-60.7,299.82,0,0,0.89
RU,1554336000,Petropavlovsk-Kamchatskiy,53.05,158.65,278.15,88,88,4.0
CI,1554338519,Tabou,4.42,-7.36,301.25,48,48,5.11
CU,1554335400,Banes,20.96,-75.72,299.15,20,20,7.7
GL,1554338382,Maniitsoq,65.42,-52.9,267.9,80,80,3.91
RU,1554338649,Nizhnyaya Poyma,56.16,97.2,267.85,20,20,1.61
RU,1554338494,Zhigalovo,54.81,105.15,267.9,8,8,2.31
RU,1554338651,Bukachacha,52.99,116.91,271.75,88,88,3.66
NG,1554338652,Bara,10.41,10.6,297.7,0,0,3.86
LR,1554334200,Monrovia,6.33,-10.8,298.15,75,75,2.11
AO,1554338653,Namibe,-15.19,12.15,299.2,0,0,3.96
RU,1554338653,Sangar,63.92,127.47,271.75,76,76,1.76
MX,1554337816,Constitucion,23.99,-104.67,297.15,20,20,7.7
RU,1554338467,Mirnyy,56.57,36.46,269.65,32,32,1.81
US,1554335760,West Wendover,40.74,-114.07,287.15,90,90,6.2
PK,1554338655,Khanpur,28.65,70.66,297.7,24,24,1.26
MU,1554338643,Cap Malheureux,-19.98,57.61,298.15,40,40,4.61
PH,1554336915,Marawi,8.0,124.29,299.26,68,68,1.79
CF,1554338658,Rafai,4.95,23.92,297.7,0,0,4.66
CM,1554338659,Yokadouma,3.52,15.05,294.7,0,0,1.11
CA,1554336000,Chapais,49.78,-74.86,269.15,90,90,9.3
MG,1554338436,Beloha,-25.17,45.06,294.75,0,0,3.21
RU,1554338661,Bagdarin,54.44,113.59,266.6,44,44,4.21
US,1554336780,Del Rio,29.36,-100.9,296.15,90,90,6.2
PF,1554338662,Tevaitoa,-16.78,-151.5,302.7,20,20,3.36
PH,1554338663,San Andres,13.32,122.68,299.95,0,0,4.41
RU,1554338663,Ola,59.58,151.3,274.9,44,44,8.16
